Metric,Value
design__max_slew_violation__count__corner:max_ss_100C_1v60,7638
design__max_fanout_violation__count__corner:max_ss_100C_1v60,96
design__max_cap_violation__count__corner:max_ss_100C_1v60,48
clock__skew__worst_hold__corner:max_ss_100C_1v60,-1.0489298615474134
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.6926797109734114
timing__hold__ws__corner:max_ss_100C_1v60,0.8934873094288247
timing__setup__ws__corner:max_ss_100C_1v60,590.1660127637904
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.893487
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,968.959290
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,157
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,148
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,96
design__max_cap_violation__count__corner:max_ff_n40C_1v95,29
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.5500352551331441
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.4109050160876872
timing__hold__ws__corner:max_ff_n40C_1v95,0.1077974406916068
timing__setup__ws__corner:max_ff_n40C_1v95,596.2612190537814
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.107797
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,988.675110
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,157
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,157
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79965
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000353972
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000387896
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.00000596783
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000387896
design_powergrid__voltage__worst,0.000387896
design_powergrid__voltage__worst__net:VPWR,1.79965
design_powergrid__drop__worst,0.000387896
design_powergrid__drop__worst__net:VPWR,0.000353972
design_powergrid__voltage__worst__net:VGND,0.000387896
design_powergrid__drop__worst__net:VGND,0.000387896
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000059800000000000003434925954781675727645051665604114532470703125
ir__drop__worst,0.0003539999999999999852513810072451860833098180592060089111328125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
